exp1,exp2,metric,t_stat,p_value,significant,effect_size
v1-cohere-engineering-emb-multi-qa-mpnet-base-cos-v1-cs1024-co100-k4,v1-cohere-marketing-emb-multi-qa-mpnet-base-cos-v1-cs512-co50-k4,bertscore_evaluator,-3.053010730202097,0.0026788176258657937,True,0.4888729717743827
v1-cohere-engineering-emb-multi-qa-mpnet-base-cos-v1-cs256-co50-k4,v1-cohere-engineering-emb-multi-qa-mpnet-base-cos-v1-cs2048-co0-k4,deepeval_faithfulness,-3.0157411845594884,0.0033311786405122025,True,0.48290506823747736
v1-cohere-engineering-emb-multi-qa-mpnet-base-cos-v1-cs1024-co100-k4,v1-cohere-marketing-emb-multi-qa-mpnet-base-cos-v1-cs512-co0-k4,bertscore_evaluator,-2.8465925583085565,0.005028791938087305,True,0.45581961099724905
v1-cohere-engineering-emb-multi-qa-mpnet-base-cos-v1-cs2048-co50-k4,v1-cohere-marketing-emb-multi-qa-mpnet-base-cos-v1-cs512-co50-k4,bertscore_evaluator,-2.8239725163625655,0.00542373150712953,True,0.4521975054414438
v1-cohere-engineering-emb-multi-qa-mpnet-base-cos-v1-cs256-co100-k4,v1-cohere-marketing-emb-multi-qa-mpnet-base-cos-v1-cs512-co50-k4,bertscore_evaluator,-2.8099011407813643,0.005649600954306101,True,0.44994428204812814
v1-cohere-engineering-emb-multi-qa-mpnet-base-cos-v1-cs256-co50-k4,v1-cohere-marketing-emb-multi-qa-mpnet-base-cos-v1-cs512-co50-k4,deepeval_faithfulness,-2.7942469945020765,0.006321177700282511,True,0.4474376125050309
v1-cohere-engineering-emb-multi-qa-mpnet-base-cos-v1-cs1024-co100-k4,v1-cohere-marketing-emb-multi-qa-mpnet-base-cos-v1-cs256-co0-k4,bertscore_evaluator,-2.6768548092124873,0.0082369701739811,True,0.42863981860346434
v1-cohere-engineering-emb-multi-qa-mpnet-base-cos-v1-cs2048-co0-k4,v1-cohere-marketing-emb-multi-qa-mpnet-base-cos-v1-cs512-co50-k4,bertscore_evaluator,-2.639403485697775,0.009241582191239115,True,0.42264280731149645
v1-cohere-engineering-emb-multi-qa-mpnet-base-cos-v1-cs256-co0-k4,v1-cohere-marketing-emb-multi-qa-mpnet-base-cos-v1-cs512-co50-k4,bertscore_evaluator,-2.6362868900766014,0.009304829000846379,True,0.4221437526085209
v1-cohere-engineering-emb-multi-qa-mpnet-base-cos-v1-cs256-co50-k4,v1-cohere-marketing-emb-multi-qa-mpnet-base-cos-v1-cs512-co50-k4,bertscore_evaluator,-2.617278110772895,0.009804602538360978,True,0.4190999118725301
v1-cohere-engineering-emb-multi-qa-mpnet-base-cos-v1-cs2048-co50-k4,v1-cohere-marketing-emb-multi-qa-mpnet-base-cos-v1-cs512-co0-k4,bertscore_evaluator,-2.6033724394094735,0.010190245092060598,True,0.41687322238968505
v1-cohere-engineering-emb-multi-qa-mpnet-base-cos-v1-cs256-co100-k4,v1-cohere-marketing-emb-multi-qa-mpnet-base-cos-v1-cs512-co0-k4,bertscore_evaluator,-2.589546520934251,0.010584716422389943,True,0.4146593035895881
v1-cohere-engineering-emb-multi-qa-mpnet-base-cos-v1-cs512-co0-k4,v1-cohere-engineering-emb-multi-qa-mpnet-base-cos-v1-cs2048-co0-k4,deepeval_faithfulness,-2.577922042753136,0.011325791764880855,True,0.41279789735949857
v1-cohere-engineering-emb-multi-qa-mpnet-base-cos-v1-cs1024-co100-k4,v1-cohere-marketing-emb-multi-qa-mpnet-base-cos-v1-cs2048-co100-k4,bertscore_evaluator,-2.556606885838466,0.01153743937415154,True,0.4093847406346867
v1-cohere-engineering-emb-multi-qa-mpnet-base-cos-v1-cs2048-co100-k4,v1-cohere-marketing-emb-multi-qa-mpnet-base-cos-v1-cs512-co50-k4,bertscore_evaluator,-2.5442714125563977,0.011995885545042072,True,0.4074094840717171
v1-cohere-engineering-emb-multi-qa-mpnet-base-cos-v1-cs256-co50-k4,v1-cohere-engineering-emb-multi-qa-mpnet-base-cos-v1-cs2048-co50-k4,deepeval_faithfulness,-2.49036466089288,0.014414111354624944,True,0.3987774954502087
v1-cohere-engineering-emb-multi-qa-mpnet-base-cos-v1-cs1024-co100-k4,v1-cohere-marketing-emb-multi-qa-mpnet-base-cos-v1-cs1024-co100-k4,bertscore_evaluator,-2.4629417492326104,0.014907340416628723,True,0.39438631523408973
v1-cohere-engineering-emb-multi-qa-mpnet-base-cos-v1-cs512-co100-k4,v1-cohere-marketing-emb-multi-qa-mpnet-base-cos-v1-cs256-co50-k4,ragas_faithfulness,2.4482497215467744,0.015548447723438151,True,0.3920337079651036
v1-cohere-engineering-emb-multi-qa-mpnet-base-cos-v1-cs256-co50-k4,v1-cohere-marketing-emb-multi-qa-mpnet-base-cos-v1-cs256-co50-k4,deepeval_faithfulness,-2.4478341109081527,0.016023554840345636,True,0.39196715700083934
v1-cohere-engineering-emb-multi-qa-mpnet-base-cos-v1-cs256-co50-k4,v1-cohere-engineering-emb-multi-qa-mpnet-base-cos-v1-cs1024-co100-k4,deepeval_faithfulness,-2.43909047553748,0.01644642808767215,True,0.3905670548113887
v1-cohere-engineering-emb-multi-qa-mpnet-base-cos-v1-cs1024-co100-k4,v1-cohere-marketing-emb-multi-qa-mpnet-base-cos-v1-cs1024-co0-k4,bertscore_evaluator,-2.431834234482079,0.016183773774256952,True,0.38940512632762264
v1-cohere-engineering-emb-multi-qa-mpnet-base-cos-v1-cs2048-co50-k4,v1-cohere-marketing-emb-multi-qa-mpnet-base-cos-v1-cs256-co0-k4,bertscore_evaluator,-2.417695161789482,0.01681457799825841,True,0.38714106272084126
v1-cohere-engineering-emb-multi-qa-mpnet-base-cos-v1-cs2048-co0-k4,v1-cohere-marketing-emb-multi-qa-mpnet-base-cos-v1-cs512-co0-k4,bertscore_evaluator,-2.4126084685016984,0.01710052146793738,True,0.3863265399156956
v1-cohere-engineering-emb-multi-qa-mpnet-base-cos-v1-cs256-co0-k4,v1-cohere-marketing-emb-multi-qa-mpnet-base-cos-v1-cs512-co0-k4,bertscore_evaluator,-2.411695665057611,0.0171200174111267,True,0.38618037438540703
v1-cohere-engineering-emb-multi-qa-mpnet-base-cos-v1-cs256-co100-k4,v1-cohere-marketing-emb-multi-qa-mpnet-base-cos-v1-cs256-co0-k4,bertscore_evaluator,-2.403199660355121,0.01746591237424829,True,0.3848199248376781
v1-cohere-engineering-emb-multi-qa-mpnet-base-cos-v1-cs1024-co100-k4,v1-cohere-marketing-emb-multi-qa-mpnet-base-cos-v1-cs256-co50-k4,ragas_faithfulness,2.3975924889617,0.017774704285450894,True,0.3839220588343808
v1-cohere-engineering-emb-multi-qa-mpnet-base-cos-v1-cs256-co50-k4,v1-cohere-marketing-emb-multi-qa-mpnet-base-cos-v1-cs512-co0-k4,bertscore_evaluator,-2.393465499415695,0.01794936037721099,True,0.3832612116176061
v1-cohere-engineering-emb-multi-qa-mpnet-base-cos-v1-cs512-co100-k4,v1-cohere-marketing-emb-multi-qa-mpnet-base-cos-v1-cs512-co50-k4,bertscore_evaluator,-2.3572543886109703,0.01972839039410686,True,0.3774627932972141
v1-cohere-engineering-emb-multi-qa-mpnet-base-cos-v1-cs512-co50-k4,v1-cohere-marketing-emb-multi-qa-mpnet-base-cos-v1-cs512-co50-k4,bertscore_evaluator,-2.34201810605937,0.020505444823693837,True,0.37502303550137367
v1-cohere-engineering-emb-multi-qa-mpnet-base-cos-v1-cs1024-co100-k4,v1-cohere-marketing-emb-multi-qa-mpnet-base-cos-v1-cs256-co100-k4,bertscore_evaluator,-2.3233061491340012,0.021473374777828243,True,0.3720267243848341
v1-cohere-engineering-emb-multi-qa-mpnet-base-cos-v1-cs256-co0-k4,v1-cohere-engineering-emb-multi-qa-mpnet-base-cos-v1-cs256-co50-k4,deepeval_faithfulness,2.322056375343819,0.02205856553634192,True,0.3718266004151382
