exp1,exp2,metric,t_stat,p_value,significant,effect_size
v1-cohere-engineering-emb-all-mpnet-base-v2-cs128-co0-k4,v1-cohere-marketing-emb-all-distilroberta-v1-cs128-co0-k4,relevance,4.36786480617207,2.970053881328396e-05,True,0.6994181274825484
v1-cohere-engineering-emb-all-mpnet-base-v2-cs128-co0-k4,v1-cohere-marketing-emb-all-mpnet-base-v2-cs128-co0-k4,relevance,4.008384713876705,0.00011406874269190185,True,0.6418552439736092
v1-cohere-engineering-emb-all-MiniLM-L6-v2-cs128-co0-k4,v1-cohere-marketing-emb-all-distilroberta-v1-cs128-co0-k4,relevance,3.441824203261092,0.0007862190948507939,True,0.5511329553898636
v1-cohere-engineering-emb-all-distilroberta-v1-cs128-co0-k4,v1-cohere-marketing-emb-all-distilroberta-v1-cs128-co0-k4,relevance,3.4418242032610924,0.0007862190948507914,True,0.5511329553898636
v1-cohere-engineering-emb-all-mpnet-base-v2-cs128-co0-k4,v1-cohere-marketing-emb-multi-qa-mpnet-base-cos-v1-cs128-co0-k4,relevance,3.269967421104725,0.0014356153169295875,True,0.5236138461442814
v1-cohere-engineering-emb-all-distilroberta-v1-cs128-co0-k4,v1-cohere-marketing-emb-all-mpnet-base-v2-cs128-co0-k4,relevance,3.0789445427755657,0.002544831720749319,True,0.49302570530289946
v1-cohere-engineering-emb-all-MiniLM-L6-v2-cs128-co0-k4,v1-cohere-marketing-emb-all-mpnet-base-v2-cs128-co0-k4,relevance,3.0789445427755657,0.002544831720749319,True,0.49302570530289946
v1-cohere-engineering-emb-all-mpnet-base-v2-cs128-co0-k4,v1-cohere-marketing-emb-all-MiniLM-L6-v2-cs128-co0-k4,relevance,2.8829375939106963,0.004714769668938481,True,0.4616394744481998
v1-cohere-engineering-emb-all-mpnet-base-v2-cs128-co0-k4,v1-cohere-marketing-emb-multi-qa-mpnet-base-dot-v1-cs128-co0-k4,relevance,2.8829375939106963,0.004714769668938481,True,0.4616394744481998
v1-cohere-engineering-emb-multi-qa-mpnet-base-cos-v1-cs128-co0-k4,v1-cohere-marketing-emb-all-distilroberta-v1-cs128-co0-k4,relevance,2.6500313105910256,0.008982093303074382,True,0.42434462129061634
v1-cohere-engineering-emb-multi-qa-mpnet-base-dot-v1-cs128-co0-k4,v1-cohere-marketing-emb-all-distilroberta-v1-cs128-co0-k4,relevance,2.6500313105910256,0.008982093303074382,True,0.42434462129061634
v1-cohere-engineering-emb-all-mpnet-base-v2-cs128-co0-k4,v1-cohere-marketing-emb-multi-qa-mpnet-base-dot-v1-cs128-co0-k4,ragas_response_relevancy,2.4215729308069895,0.016773926859367207,True,0.38776200271449723
v1-cohere-engineering-emb-all-distilroberta-v1-cs128-co0-k4,v1-cohere-marketing-emb-multi-qa-mpnet-base-cos-v1-cs128-co0-k4,relevance,2.32536091194174,0.02156186515562532,True,0.3723557497597447
v1-cohere-engineering-emb-all-MiniLM-L6-v2-cs128-co0-k4,v1-cohere-marketing-emb-multi-qa-mpnet-base-cos-v1-cs128-co0-k4,relevance,2.32536091194174,0.0215618651556253,True,0.3723557497597447
v1-cohere-engineering-emb-all-mpnet-base-v2-cs128-co0-k4,v1-cohere-marketing-emb-all-MiniLM-L6-v2-cs128-co0-k4,ragas_response_relevancy,2.3168600855723556,0.02213321403708358,True,0.3709945281273975
v1-cohere-engineering-emb-multi-qa-mpnet-base-dot-v1-cs128-co0-k4,v1-cohere-marketing-emb-all-mpnet-base-v2-cs128-co0-k4,relevance,2.287210246803414,0.02367132225784265,True,0.36624675418470837
v1-cohere-engineering-emb-multi-qa-mpnet-base-cos-v1-cs128-co0-k4,v1-cohere-marketing-emb-all-mpnet-base-v2-cs128-co0-k4,relevance,2.287210246803414,0.02367132225784265,True,0.36624675418470837
