experiment_id,rag_type,team_type,embedding_model,chunk_size,chunk_overlap,top_k,retriever_type,evaluation_type,correctness_mean,groundedness_mean,relevance_mean,retrieval_relevance_mean,ragas_answer_accuracy_mean,ragas_context_relevance_mean,ragas_faithfulness_mean,ragas_response_relevancy_mean,deepeval_faithfulness_mean,deepeval_geval_mean,bertscore_evaluator_mean,character_length_output,character_length_reference,character_length_ratio,character_length_closeness,word_count_output,word_count_reference,word_count_ratio,word_count_closeness,correctness_rank,groundedness_rank,relevance_rank,retrieval_relevance_rank,ragas_answer_accuracy_rank,ragas_context_relevance_rank,ragas_faithfulness_rank,ragas_response_relevancy_rank,deepeval_faithfulness_rank,deepeval_geval_rank,bertscore_evaluator_rank,character_length_rank,word_count_rank,overall_score
v1-cohere-engineering-emb-multi-qa-mpnet-base-dot-v1-cs128-co0-k4,cohere,engineering,multi-qa-mpnet-base-dot-v1,128,0,4,similarity,ragas,0.38461538461538464,0.2948717948717949,0.8846153846153846,0.7435897435897436,0.2916666666666667,0.15064102564102563,0.18107800319338785,0.8279430778837338,0.9623931623931623,0.49839136569795656,0.8801473256869193,348.43589743589746,612.7307692307693,0.5862887381544246,2.3600977600743054,50.51282051282051,89.91025641025641,0.5844271215320653,2.349773800435796,0.4,0.9,0.6,0.8,0.8,0.5,0.8,0.8,0.09999999999999998,0.6,0.30000000000000004,0.6,0.6,0.5999999999999999
v1-cohere-engineering-emb-all-mpnet-base-v2-cs128-co0-k4,cohere,engineering,all-mpnet-base-v2,128,0,4,similarity,ragas,0.41025641025641024,0.24358974358974358,0.9615384615384616,0.6666666666666666,0.30448717948717946,0.13782051282051283,0.15504403004403003,0.848300254103529,0.9544871794871793,0.5119446617219069,0.87917410945281,360.0769230769231,612.7307692307693,0.6062254582544565,2.476629645041352,52.15384615384615,89.91025641025641,0.6045595866759106,2.466453681322213,0.8,0.6,0.9,0.0,0.9,0.4,0.30000000000000004,0.9,0.0,0.9,0.09999999999999998,0.8,0.8,0.5692307692307692
v1-cohere-engineering-emb-all-MiniLM-L6-v2-cs128-co0-k4,cohere,engineering,all-MiniLM-L6-v2,128,0,4,similarity,ragas,0.41025641025641024,0.2692307692307692,0.9230769230769231,0.7564102564102564,0.28525641025641024,0.10256410256410256,0.16228123728123728,0.8236231800711402,0.9760683760683759,0.4977115882720513,0.8783953663630363,354.9871794871795,612.7307692307693,0.610209428118558,2.5013096114146243,51.294871794871796,89.91025641025641,0.6073293270576372,2.4834190001791794,0.8,0.8,0.8,0.9,0.5,0.0,0.5,0.6,0.6,0.5,0.0,0.9,0.9,0.6000000000000001
v1-cohere-engineering-emb-all-distilroberta-v1-cs128-co0-k4,cohere,engineering,all-distilroberta-v1,128,0,4,similarity,ragas,0.41025641025641024,0.24358974358974358,0.9230769230769231,0.6794871794871795,0.2916666666666667,0.12179487179487179,0.1526098901098901,0.8027552492581451,0.9713675213675214,0.5039254598569932,0.8796422565594698,353.28205128205127,612.7307692307693,0.6019265610626485,2.450539301465104,51.19230769230769,89.91025641025641,0.600410768050638,2.441470434270672,0.8,0.6,0.8,0.19999999999999996,0.8,0.19999999999999996,0.19999999999999996,0.4,0.4,0.8,0.19999999999999996,0.7,0.7,0.5230769230769232
v1-cohere-marketing-emb-multi-qa-mpnet-base-dot-v1-cs128-co0-k4,cohere,marketing,multi-qa-mpnet-base-dot-v1,128,0,4,similarity,ragas,0.38461538461538464,0.24358974358974358,0.8205128205128205,0.7307692307692307,0.24358974358974358,0.15705128205128205,0.1569037444037444,0.7918737991356941,0.9712454212454212,0.4508205392728722,0.8841377145204788,359.2307692307692,252.96153846153845,1.742211533108004,1.3294132780285597,52.91025641025641,36.94871794871795,1.7857030498782371,1.2567502413783955,0.4,0.6,0.4,0.6,0.30000000000000004,0.6,0.4,0.09999999999999998,0.30000000000000004,0.09999999999999998,0.9,0.0,0.0,0.36153846153846153
v1-cohere-engineering-emb-multi-qa-mpnet-base-cos-v1-cs128-co0-k4,cohere,engineering,multi-qa-mpnet-base-cos-v1,128,0,4,similarity,ragas,0.3974358974358974,0.2692307692307692,0.8846153846153846,0.7435897435897436,0.28846153846153844,0.17307692307692307,0.20430402930402927,0.8253836178478073,0.9683760683760685,0.503699895940163,0.8804433246453603,336.34615384615387,612.7307692307693,0.5716816945429657,2.2814470387160775,48.80769230769231,89.91025641025641,0.5701079213066002,2.273284854253967,0.5,0.8,0.6,0.8,0.6,0.8,0.9,0.7,0.19999999999999996,0.7,0.4,0.5,0.5,0.6153846153846155
v1-cohere-marketing-emb-all-mpnet-base-v2-cs128-co0-k4,cohere,marketing,all-mpnet-base-v2,128,0,4,similarity,ragas,0.3333333333333333,0.20512820512820512,0.7435897435897436,0.7307692307692307,0.24358974358974358,0.16346153846153846,0.1464896214896215,0.8157353623656842,0.989957264957265,0.4586852479019808,0.88203276349948,345.3205128205128,252.96153846153845,1.634061095595364,1.5526477330160882,50.84615384615385,36.94871794871795,1.6632172514685954,1.4854045968348872,0.0,0.19999999999999996,0.09999999999999998,0.6,0.30000000000000004,0.7,0.09999999999999998,0.5,0.9,0.19999999999999996,0.6,0.4,0.4,0.38461538461538464
v1-cohere-marketing-emb-all-MiniLM-L6-v2-cs128-co0-k4,cohere,marketing,all-MiniLM-L6-v2,128,0,4,similarity,ragas,0.38461538461538464,0.19230769230769232,0.8205128205128205,0.7051282051282052,0.23076923076923078,0.11217948717948718,0.17008362008362007,0.7888495704144997,0.9834249084249084,0.465018313976471,0.8834284146626791,345.47435897435895,252.96153846153845,1.6864324834128261,1.4358893702079478,50.44871794871795,36.94871794871795,1.703851352191826,1.400851867730693,0.4,0.09999999999999998,0.4,0.30000000000000004,0.0,0.09999999999999998,0.6,0.0,0.8,0.4,0.8,0.09999999999999998,0.09999999999999998,0.3153846153846154
v1-cohere-marketing-emb-all-distilroberta-v1-cs128-co0-k4,cohere,marketing,all-distilroberta-v1,128,0,4,similarity,ragas,0.3717948717948718,0.1794871794871795,0.717948717948718,0.6794871794871795,0.24358974358974358,0.125,0.17405881155881156,0.7979758160366586,0.9829059829059827,0.44385913641678,0.8832259751283206,348.1666666666667,252.96153846153845,1.6701604865886253,1.4702412441151114,51.17948717948718,36.94871794871795,1.6994390020066577,1.4095644546909414,0.09999999999999998,0.0,0.0,0.19999999999999996,0.30000000000000004,0.30000000000000004,0.7,0.19999999999999996,0.7,0.0,0.7,0.19999999999999996,0.19999999999999996,0.27692307692307694
v1-cohere-marketing-emb-multi-qa-mpnet-base-cos-v1-cs128-co0-k4,cohere,marketing,multi-qa-mpnet-base-cos-v1,128,0,4,similarity,ragas,0.4230769230769231,0.23076923076923078,0.7948717948717948,0.7307692307692307,0.2532051282051282,0.21794871794871795,0.14382376882376882,0.8000909162933899,0.972008547008547,0.4640434272263238,0.881421202268356,353.37179487179486,252.96153846153845,1.661701631035433,1.4887562480062655,51.666666666666664,36.94871794871795,1.6764821233173588,1.4567021718899194,0.9,0.30000000000000004,0.19999999999999996,0.6,0.4,0.9,0.0,0.30000000000000004,0.5,0.30000000000000004,0.5,0.30000000000000004,0.30000000000000004,0.423076923076923
