experiment_id,rag_type,team_type,embedding_model,chunk_size,chunk_overlap,top_k,retriever_type,evaluation_type,ragas_answer_accuracy_mean,ragas_context_relevance_mean,ragas_faithfulness_mean,ragas_response_relevancy_mean,character_length_output,character_length_reference,character_length_ratio,character_length_closeness,word_count_output,word_count_reference,word_count_ratio,word_count_closeness,ragas_answer_accuracy_rank,ragas_context_relevance_rank,ragas_faithfulness_rank,ragas_response_relevancy_rank,character_length_rank,word_count_rank,overall_score
ragas-rag-cohere-marketing-emb-all-mpnet-base-v2-cs256-co0-k4,cohere,marketing,all-mpnet-base-v2,256,0,4,similarity,ragas,0.24358974358974358,0.24358974358974358,0.21071179532717993,0.7876243480309194,353.3205128205128,252.96153846153845,1.6571510220617325,1.4989109915617704,52.32051282051282,36.94871794871795,1.695294053777469,1.417848335235668,0.16666666666666663,0.08333333333333337,0.08333333333333337,0.16666666666666663,0.9166666666666666,0.9166666666666666,0.38888888888888884
ragas-rag-cohere-marketing-emb-all-mpnet-base-v2-cs256-co50-k4,cohere,marketing,all-mpnet-base-v2,256,50,4,similarity,ragas,0.21474358974358973,0.22115384615384615,0.21788258038258043,0.8118462251452677,357.05128205128204,252.96153846153845,1.6918751015394686,1.4247549140960187,52.256410256410255,36.94871794871795,1.7139602098504583,1.3812913836888365,0.0,0.0,0.16666666666666663,0.75,0.8333333333333334,0.8333333333333334,0.4305555555555556
ragas-rag-cohere-marketing-emb-all-mpnet-base-v2-cs256-co100-k4,cohere,marketing,all-mpnet-base-v2,256,100,4,similarity,ragas,0.23397435897435898,0.25,0.19885623635623637,0.8118324210317507,364.94871794871796,252.96153846153845,1.7354418204996456,1.3414863138879602,53.34615384615385,36.94871794871795,1.7391864647449928,1.33478118873968,0.08333333333333337,0.16666666666666663,0.0,0.6666666666666667,0.75,0.75,0.40277777777777785
ragas-rag-cohere-marketing-emb-all-mpnet-base-v2-cs512-co0-k4,cohere,marketing,all-mpnet-base-v2,512,0,4,similarity,ragas,0.2564102564102564,0.2692307692307692,0.22587042587042588,0.8270058585425863,380.9871794871795,252.96153846153845,1.8189596036197209,1.2063314009915767,56.166666666666664,36.94871794871795,1.847261818028363,1.1665047701528617,0.25,0.41666666666666663,0.33333333333333337,0.9166666666666666,0.08333333333333337,0.41666666666666663,0.40277777777777773
ragas-rag-cohere-marketing-emb-all-mpnet-base-v2-cs512-co50-k4,cohere,marketing,all-mpnet-base-v2,512,50,4,similarity,ragas,0.27884615384615385,0.27564102564102566,0.22121489621489623,0.8016615606555926,367.6794871794872,252.96153846153845,1.763340456004776,1.2930915384489132,53.91025641025641,36.94871794871795,1.7893458871141894,1.2510228877391427,0.5,0.6666666666666667,0.25,0.5,0.5833333333333333,0.5833333333333333,0.5138888888888888
ragas-rag-cohere-marketing-emb-all-mpnet-base-v2-cs1024-co0-k4,cohere,marketing,all-mpnet-base-v2,1024,0,4,similarity,ragas,0.2980769230769231,0.26282051282051283,0.2580572205572205,0.8047281755427721,381.0,252.96153846153845,1.8319031306379168,1.1877851068712524,56.705128205128204,36.94871794871795,1.8832738268193598,1.1194775554553695,0.9166666666666666,0.33333333333333337,0.41666666666666663,0.5833333333333333,0.0,0.0,0.375
ragas-rag-cohere-marketing-emb-all-mpnet-base-v2-cs1024-co50-k4,cohere,marketing,all-mpnet-base-v2,1024,50,4,similarity,ragas,0.27884615384615385,0.27564102564102566,0.2671966921966922,0.7943226186021297,376.7307692307692,252.96153846153845,1.8085010732759867,1.2217454963101977,55.82051282051282,36.94871794871795,1.8611504592254198,1.1479073326657558,0.5,0.6666666666666667,0.5,0.33333333333333337,0.33333333333333337,0.25,0.4305555555555556
ragas-rag-cohere-marketing-emb-all-mpnet-base-v2-cs1024-co100-k4,cohere,marketing,all-mpnet-base-v2,1024,100,4,similarity,ragas,0.2916666666666667,0.26282051282051283,0.27752155252155253,0.7544050347601466,367.44871794871796,252.96153846153845,1.7638051287350396,1.2923150323838346,54.3974358974359,36.94871794871795,1.8131626764091753,1.2148267027390378,0.8333333333333334,0.33333333333333337,0.5833333333333333,0.0,0.5,0.5,0.4583333333333333
ragas-rag-cohere-marketing-emb-all-mpnet-base-v2-cs2048-co0-k4,cohere,marketing,all-mpnet-base-v2,2048,0,4,similarity,ragas,0.2724358974358974,0.2980769230769231,0.3081279831279831,0.8006846435022191,387.4230769230769,252.96153846153845,1.8165623224341152,1.2098301275760237,57.256410256410255,36.94871794871795,1.8672132261374235,1.139973691918937,0.33333333333333337,0.9166666666666666,0.75,0.41666666666666663,0.16666666666666663,0.16666666666666663,0.45833333333333326
ragas-rag-cohere-marketing-emb-all-mpnet-base-v2-cs2048-co50-k4,cohere,marketing,all-mpnet-base-v2,2048,50,4,similarity,ragas,0.28846153846153844,0.2980769230769231,0.37045177045177047,0.7926424968160379,381.56410256410254,252.96153846153845,1.807711318541376,1.2229254717713685,56.794871794871796,36.94871794871795,1.8672524782950926,1.1399226844516446,0.75,0.9166666666666666,0.9166666666666666,0.25,0.41666666666666663,0.08333333333333337,0.5555555555555555
ragas-rag-cohere-marketing-emb-all-mpnet-base-v2-cs2048-co100-k4,cohere,marketing,all-mpnet-base-v2,2048,100,4,similarity,ragas,0.28525641025641024,0.28525641025641024,0.3234145484145484,0.7748253993016403,378.7564102564103,252.96153846153845,1.8088931364835013,1.2211605586221048,55.85897435897436,36.94871794871795,1.8603495149096325,1.1489637012135625,0.5833333333333333,0.75,0.8333333333333334,0.08333333333333337,0.25,0.33333333333333337,0.47222222222222227
